pid,label,collection,subcollection,autor,year,moral,link
bigbrainchess.png,bigbrain_chess,memes,Big brain,( ͡° ͜ʖ ͡°),2016,intelligence,https://knowyourmeme.com/memes/big-brain-wojak
bigbrainhorse.png,bigbrain_horse,memes,Big brain,( ͡° ͜ʖ ͡°),2016,intelligence,https://knowyourmeme.com/memes/big-brain-wojak
bigbrainlove.png,bigbrain_love,memes,Big brain,( ͡° ͜ʖ ͡°),2016,intelligence,https://knowyourmeme.com/memes/big-brain-wojak
bigbrainmath.png,bigbrain_math,memes,Big brain,( ͡° ͜ʖ ͡°),2016,intelligence,https://knowyourmeme.com/memes/big-brain-wojak
bigbrainwho.png,bigbrain_who,memes,Big brain,( ͡° ͜ʖ ͡°),2016,intelligence,https://knowyourmeme.com/memes/big-brain-wojak
bonesmaxxing.png,bone_incel,memes,Milimiters of bone,( ͡° ͜ʖ ͡°),2016,masculinity,https://knowyourmeme.com/memes/millimeters-of-bone
boneincel.png,bone_mario,memes,Milimiters of bone,( ͡° ͜ʖ ͡°),2016,masculinity,https://knowyourmeme.com/memes/millimeters-of-bone
bonemario.png,bone_squidward,memes,Milimiters of bone,( ͡° ͜ʖ ͡°),2016,masculinity,https://knowyourmeme.com/memes/millimeters-of-bone
bonesquidward.png,bones_maxxing,memes,Milimiters of bone,( ͡° ͜ʖ ͡°),2016,masculinity,https://knowyourmeme.com/memes/millimeters-of-bone
brainletbraindead.png,brainlet_braindead,memes,Brainlet,( ͡° ͜ʖ ͡°),2017,intelligence,https://knowyourmeme.com/memes/brainlet
brainletconcave.png,brainlet_concave,memes,Brainlet,( ͡° ͜ʖ ͡°),2017,intelligence,https://knowyourmeme.com/memes/brainlet
brainlethole.png,brainlet_hole,memes,Brainlet,( ͡° ͜ʖ ͡°),2017,intelligence,https://knowyourmeme.com/memes/brainlet
brainletnohead.png,brainlet_no_head,memes,Brainlet,( ͡° ͜ʖ ͡°),2017,intelligence,https://knowyourmeme.com/memes/brainlet
brainletpower.png,brainlet_power,memes,Brainlet,( ͡° ͜ʖ ͡°),2017,intelligence,https://knowyourmeme.com/memes/brainlet
dogevscheemschristiancinema.png,dogevscheems_christian_cinema,memes,Doge vs Cheems,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/swole-doge-vs-cheems
dogevscheemsdarkmode.png,dogevscheems_darkmode,memes,Doge vs Cheems,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/swole-doge-vs-cheems
dogevscheemsiran.png,dogevscheems_iran,memes,Doge vs Cheems,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/swole-doge-vs-cheems
dogevscheemsstudents.png,dogevscheems_students,memes,Doge vs Cheems,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/swole-doge-vs-cheems
dogevscheemsvice.png,dogevscheems_vice,memes,Doge vs Cheems,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/swole-doge-vs-cheems
enjoyerpatriot.png,enjoyer_economics,memes,Average Enjoyer,( ͡° ͜ʖ ͡°),2019,masculinity,https://knowyourmeme.com/memes/average-fan-vs-average-enjoyer
enjoyerssynopsis.png,enjoyer_meta,memes,Average Enjoyer,( ͡° ͜ʖ ͡°),2019,masculinity,https://knowyourmeme.com/memes/average-fan-vs-average-enjoyer
enjoyereconomics.png,enjoyer_opinion,memes,Average Enjoyer,( ͡° ͜ʖ ͡°),2019,masculinity,https://knowyourmeme.com/memes/average-fan-vs-average-enjoyer
enjoyermeta.png,enjoyerpatriot,memes,Average Enjoyer,( ͡° ͜ʖ ͡°),2019,masculinity,https://knowyourmeme.com/memes/average-fan-vs-average-enjoyer
enjoyeropinion.png,enjoyers_synopsis,memes,Average Enjoyer,( ͡° ͜ʖ ͡°),2019,masculinity,https://knowyourmeme.com/memes/average-fan-vs-average-enjoyer
f37.png,bone_hercules,memes,Milimiters of bone,( ͡° ͜ʖ ͡°),2016,masculinity,https://knowyourmeme.com/memes/millimeters-of-bone
fowlerbenevolence.png,fowler_benevolence,frenologia,New illustrated self instructor in phrenology and physiology,Lorenzo Niles Fowler,1859,other,https://archive.org/details/newillustratedse00fowluoft
